CC / OVC,Company (Label),Position Country (Label),Legal Entity (Label),Physical Location (Location Name),Business unit (Label),Position Business Segment (Picklist Label),Division (Label),Employment Classification (Label),Employee Type (Label),Employment Type (Label),Job Classification (Label),Cost Center (Label),Job Title,Position Position Title (Label),Work Contract (Picklist Label),Job Function (Label)
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,,Manufacturing,Regular,Full-Time,Hourly,Shaft Cell Operator,Torqueshaft Cell BFG,Manufacturing - Shaft Cell Operator,BGR Shaft Cell Operator,Maint-Machinery (IL),Manufacturing
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Inspector - Hourly,Quality Control BFG,Quality - Inspector - Hourly,BGR Analytical Inspector,Indl-Inspection (IA),Manufacturing Quality
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Burr Hand Operator,Burring BFG,Manufacturing - Burr Hand Operator,BGR Burr Hand Operator,Direct (DL),Manufacturing
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Crib Attendant,Maintenance BFG,Manufacturing - Crib Attendant,BGR Gage Crib Attendant,Indirect (IG),Manufacturing
CC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Production Supervisor III,Oper. Mgmt. BFG,Production Supervisor III,Supervisor Machine Shop,Supervision Sal (SA),Manufacturing
CC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Production Supervisor III,Heat Treat BFG,Manufacturing - Production Supervisor VII,HT Contractor,,Manufacturing
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shaft Cell Operator,Torqueshaft Cell BFG,Manufacturing - Shaft Cell Operator,BGR Shaft Cell Operator,Direct (DL),Manufacturing
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shaft Cell Operator,Torqueshaft Cell BFG,Manufacturing - Shaft Cell Operator,BGR Shaft Cell Operator,Direct (DL),Manufacturing
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Machine Cell Operator,Bevel Gear BFG,Manufacturing - Machine Cell Operator,BGR FMC,Direct (DL),Manufacturing
CC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Technician I,Quality Control BFG,Quality Technician I,Quality Technician,Tech & Spec Sal (SE),Manufacturing Quality
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Heat Treat Operator,Heat Treat BFG,Manufacturing - Heat Treat Operator,BGR Heat Treat Operator,Direct (DL),Manufacturing
